term,type,weight
"Central District of California","All courts within district",10
"Central District of Illinois","All courts within district",10
"Court of Appeals for the Armed Forces","All courts within district",10
"Court of Appeals for Veterans Claims","All courts within district",10
"Court of Federal Claims","All courts within district",10
"Court of International Trade","All courts within district",10
"District Court for the Northern Mariana Islands","All courts within district",10
"District Court of the Virgin Islands","All courts within district",10
"District of Alaska","All courts within district",10
"District of Arizona","All courts within district",10
"District of Colorado","All courts within district",10
"District of Columbia","All courts within district",10
"District of Connecticut","All courts within district",10
"District of Delaware","All courts within district",10
"District of Guam","All courts within district",10
"District of Hawaii","All courts within district",10
"District of Idaho","All courts within district",10
"District of Kansas","All courts within district",10
"District of Maine","All courts within district",10
"District of Maryland","All courts within district",10
"District of Massachusetts","All courts within district",10
"District of Minnesota","All courts within district",10
"District of Montana","All courts within district",10
"District of Nebraska","All courts within district",10
"District of Nevada","All courts within district",10
"District of New Hampshire","All courts within district",10
"District of New Jersey","All courts within district",10
"District of New Mexico","All courts within district",10
"District of North Dakota","All courts within district",10
"District of Oregon","All courts within district",10
"District of Puerto Rico","All courts within district",10
"District of Rhode Island","All courts within district",10
"District of South Carolina","All courts within district",10
"District of South Dakota","All courts within district",10
"District of Utah","All courts within district",10
"District of Vermont","All courts within district",10
"District of Wyoming","All courts within district",10
"Eastern District of Arkansas","All courts within district",10
"Eastern District of California","All courts within district",10
"Eastern District of Kentucky","All courts within district",10
"Eastern District of Louisiana","All courts within district",10
"Eastern District of Michigan","All courts within district",10
"Eastern District of Missouri","All courts within district",10
"Eastern District of New York","All courts within district",10
"Eastern District of North Carolina","All courts within district",10
"Eastern District of Oklahoma","All courts within district",10
"Eastern District of Pennsylvania","All courts within district",10
"Eastern District of Tennessee","All courts within district",10
"Eastern District of Texas","All courts within district",10
"Eastern District of Virginia","All courts within district",10
"Eastern District of Washington","All courts within district",10
"Eastern District of Wisconsin","All courts within district",10
"Federal Circuit","All courts within district",10
"Judicial Panel on Multidistrict Litigation","All courts within district",10
"Middle District of Alabama","All courts within district",10
"Middle District of Florida","All courts within district",10
"Middle District of Georgia","All courts within district",10
"Middle District of Louisiana","All courts within district",10
"Middle District of North Carolina","All courts within district",10
"Middle District of Pennsylvania","All courts within district",10
"Middle District of Tennessee","All courts within district",10
"Northern District of Alabama","All courts within district",10
"Northern District of California","All courts within district",10
"Northern District of Florida","All courts within district",10
"Northern District of Georgia","All courts within district",10
"Northern District of Illinois","All courts within district",10
"Northern District of Indiana","All courts within district",10
"Northern District of Iowa","All courts within district",10
"Northern District of Mississippi","All courts within district",10
"Northern District of New York","All courts within district",10
"Northern District of Ohio","All courts within district",10
"Northern District of Oklahoma","All courts within district",10
"Northern District of Texas","All courts within district",10
"Northern District of West Virginia","All courts within district",10
"Other Judiciary Agencies","All courts within district",10
"Southern District of Alabama","All courts within district",10
"Southern District of California","All courts within district",10
"Southern District of Florida","All courts within district",10
"Southern District of Georgia","All courts within district",10
"Southern District of Illinois","All courts within district",10
"Southern District of Indiana","All courts within district",10
"Southern District of Iowa","All courts within district",10
"Southern District of Mississippi","All courts within district",10
"Southern District of New York","All courts within district",10
"Southern District of Ohio","All courts within district",10
"Southern District of Texas","All courts within district",10
"Southern District of West Virginia","All courts within district",10
"Supreme Court of the United States","All courts within district",10
"United States Tax Court","All courts within district",10
"Western District of Arkansas","All courts within district",10
"Western District of Kentucky","All courts within district",10
"Western District of Louisiana","All courts within district",10
"Western District of Michigan","All courts within district",10
"Western District of Missouri","All courts within district",10
"Western District of New York","All courts within district",10
"Western District of North Carolina","All courts within district",10
"Western District of Oklahoma","All courts within district",10
"Western District of Pennsylvania","All courts within district",10
"Western District of Tennessee","All courts within district",10
"Western District of Texas","All courts within district",10
"Western District of Virginia","All courts within district",10
"Western District of Washington","All courts within district",10
"Western District of Wisconsin","All courts within district",10
"District of Columbia Circuit Court of Appeals","U.S. Courts of Appeals",20
"District of Columbia Circuit Library","U.S. Courts of Appeals",20
"Eighth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Eighth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Eighth Circuit Library","U.S. Courts of Appeals",20
"Eleventh Circuit Court of Appeals","U.S. Courts of Appeals",20
"Fifth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Fifth Circuit Library","U.S. Courts of Appeals",20
"First Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"First Circuit Court of Appeals","U.S. Courts of Appeals",20
"First Circuit Library","U.S. Courts of Appeals",20
"Fourth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Ninth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Ninth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Ninth Circuit Library","U.S. Courts of Appeals",20
"Second Circuit Court of Appeals","U.S. Courts of Appeals",20
"Second Circuit Library","U.S. Courts of Appeals",20
"Seventh Circuit Court of Appeals","U.S. Courts of Appeals",20
"Sixth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Sixth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Sixth Circuit Library","U.S. Courts of Appeals",20
"Tenth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Tenth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Tenth Circuit Library","U.S. Courts of Appeals",20
"Third Circuit Court of Appeals","U.S. Courts of Appeals",20
"Third Circuit Library","U.S. Courts of Appeals",20
"Alabama Middle District Court","U.S. District Courts",30
"Alabama Northern District Court","U.S. District Courts",30
"Alabama Southern District Court","U.S. District Courts",30
"Alaska District Court","U.S. District Courts",30
"Arizona District Court","U.S. District Courts",30
"Arkansas Eastern District Court","U.S. District Courts",30
"Arkansas Western District Court","U.S. District Courts",30
"California Central District Court","U.S. District Courts",30
"California Eastern District Court","U.S. District Courts",30
"California Northern District Court","U.S. District Courts",30
"California Southern District Court","U.S. District Courts",30
"Colorado District Court","U.S. District Courts",30
"Connecticut District Court","U.S. District Courts",30
"Delaware District Court","U.S. District Courts",30
"District of Columbia District Court","U.S. District Courts",30
"Florida Middle District Court","U.S. District Courts",30
"Florida Northern District Court","U.S. District Courts",30
"Florida Southern District Court","U.S. District Courts",30
"Georgia Middle District Court","U.S. District Courts",30
"Georgia Northern District Court","U.S. District Courts",30
"Georgia Southern District Court","U.S. District Courts",30
"Guam District Court","U.S. District Courts",30
"Hawaii District Court","U.S. District Courts",30
"Idaho District Court","U.S. District Courts",30
"Illinois Central District Court","U.S. District Courts",30
"Illinois Northern District Court","U.S. District Courts",30
"Illinois Southern District Court","U.S. District Courts",30
"Indiana Northern District Court","U.S. District Courts",30
"Indiana Southern District Court","U.S. District Courts",30
"Iowa Northern District Court","U.S. District Courts",30
"Iowa Southern District Court","U.S. District Courts",30
"Kansas District Court","U.S. District Courts",30
"Kentucky Eastern District Court","U.S. District Courts",30
"Kentucky Western District Court","U.S. District Courts",30
"Louisiana Eastern District Court","U.S. District Courts",30
"Louisiana Middle District Court","U.S. District Courts",30
"Louisiana Western District Court","U.S. District Courts",30
"Maine District Court","U.S. District Courts",30
"Maryland District Court","U.S. District Courts",30
"Massachusetts District Court","U.S. District Courts",30
"Michigan Eastern District Court","U.S. District Courts",30
"Michigan Western District Court","U.S. District Courts",30
"Minnesota District Court","U.S. District Courts",30
"Mississippi Northern District Court","U.S. District Courts",30
"Mississippi Southern District Court","U.S. District Courts",30
"Missouri Eastern District Court","U.S. District Courts",30
"Missouri Western District Court","U.S. District Courts",30
"Montana District Court","U.S. District Courts",30
"Nebraska District Court","U.S. District Courts",30
"Nevada District Court","U.S. District Courts",30
"New Hampshire District Court","U.S. District Courts",30
"New Jersey District Court","U.S. District Courts",30
"New Mexico District Court","U.S. District Courts",30
"New York Eastern District Court","U.S. District Courts",30
"New York Northern District Court","U.S. District Courts",30
"New York Southern District Court","U.S. District Courts",30
"New York Western District Court","U.S. District Courts",30
"North Carolina Eastern District Court","U.S. District Courts",30
"North Carolina Middle District Court","U.S. District Courts",30
"North Carolina Western District Court","U.S. District Courts",30
"North Dakota District Court","U.S. District Courts",30
"Northern Mariana Islands District Court","U.S. District Courts",30
"Ohio Northern District Court","U.S. District Courts",30
"Ohio Southern District Court","U.S. District Courts",30
"Oklahoma Eastern District Court","U.S. District Courts",30
"Oklahoma Northern District Court","U.S. District Courts",30
"Oklahoma Western District Court","U.S. District Courts",30
"Oregon District Court","U.S. District Courts",30
"Pennsylvania Eastern District Court","U.S. District Courts",30
"Pennsylvania Middle District Court","U.S. District Courts",30
"Pennsylvania Western District Court","U.S. District Courts",30
"Puerto Rico District Court","U.S. District Courts",30
"Rhode Island District Court","U.S. District Courts",30
"South Carolina District Court","U.S. District Courts",30
"South Dakota District Court","U.S. District Courts",30
"Tennessee Eastern District Court","U.S. District Courts",30
"Tennessee Middle District Court","U.S. District Courts",30
"Tennessee Western District Court","U.S. District Courts",30
"Texas Eastern District Court","U.S. District Courts",30
"Texas Northern District Court","U.S. District Courts",30
"Texas Southern District Court","U.S. District Courts",30
"Texas Western District Court","U.S. District Courts",30
"Utah District Court","U.S. District Courts",30
"Vermont District Court","U.S. District Courts",30
"Virgin Islands District Court","U.S. District Courts",30
"Virginia Eastern District Court","U.S. District Courts",30
"Virginia Western District Court","U.S. District Courts",30
"Washington Eastern District Court","U.S. District Courts",30
"Washington Western District Court","U.S. District Courts",30
"West Virginia Northern District Court","U.S. District Courts",30
"West Virginia Southern District Court","U.S. District Courts",30
"Wisconsin Eastern District Court","U.S. District Courts",30
"Wisconsin Western District Court","U.S. District Courts",30
"Wyoming District Court","U.S. District Courts",30
"Alabama Middle Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"Alabama Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Alabama Northern Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"Alabama Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Alabama Southern Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"Alabama Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Alaska Bankruptcy Court","U.S. Bankruptcy Courts",40
"Arizona Bankruptcy Court","U.S. Bankruptcy Courts",40
"Arkansas Eastern & Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"California Central Bankruptcy Court","U.S. Bankruptcy Courts",40
"California Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"California Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"California Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Colorado Bankruptcy Court","U.S. Bankruptcy Courts",40
"Connecticut Bankruptcy Court","U.S. Bankruptcy Courts",40
"Delaware Bankruptcy Court","U.S. Bankruptcy Courts",40
"District of Columbia Bankruptcy Court","U.S. Bankruptcy Courts",40
"Florida Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Florida Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Florida Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Georgia Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Georgia Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Georgia Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Hawaii Bankruptcy Court","U.S. Bankruptcy Courts",40
"Idaho Bankruptcy Court","U.S. Bankruptcy Courts",40
"Illinois Central Bankruptcy Court","U.S. Bankruptcy Courts",40
"Illinois Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Illinois Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Indiana Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Indiana Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Iowa Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Iowa Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Kansas Bankruptcy Court","U.S. Bankruptcy Courts",40
"Kentucky Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Kentucky Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Louisiana Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Louisiana Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Louisiana Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Maine Bankruptcy Court","U.S. Bankruptcy Courts",40
"Maryland Bankruptcy Court","U.S. Bankruptcy Courts",40
"Massachusetts Bankruptcy Court","U.S. Bankruptcy Courts",40
"Michigan Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Michigan Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Minnesota Bankruptcy Court","U.S. Bankruptcy Courts",40
"Mississippi Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Mississippi Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Missouri Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Missouri Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Montana Bankruptcy Court","U.S. Bankruptcy Courts",40
"Nebraska Bankruptcy Court","U.S. Bankruptcy Courts",40
"Nevada Bankruptcy Court","U.S. Bankruptcy Courts",40
"New Hampshire Bankruptcy Court","U.S. Bankruptcy Courts",40
"New Jersey Bankruptcy Court","U.S. Bankruptcy Courts",40
"New Mexico Bankruptcy Court","U.S. Bankruptcy Courts",40
"New York Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"New York Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"New York Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"New York Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"North Carolina Eastern Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"North Carolina Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"North Carolina Middle Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"North Carolina Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"North Carolina Western Bankruptcy Administrator","U.S. Bankruptcy Courts",40
"North Carolina Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"North Dakota Bankruptcy Court","U.S. Bankruptcy Courts",40
"Ohio Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Ohio Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Oklahoma Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Oklahoma Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Oklahoma Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Oregon Bankruptcy Court","U.S. Bankruptcy Courts",40
"Pennsylvania Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Pennsylvania Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Pennsylvania Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Puerto Rico Bankruptcy Court","U.S. Bankruptcy Courts",40
"Rhode Island Bankruptcy Court","U.S. Bankruptcy Courts",40
"South Carolina Bankruptcy Court","U.S. Bankruptcy Courts",40
"South Dakota Bankruptcy Court","U.S. Bankruptcy Courts",40
"Tennessee Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Tennessee Middle Bankruptcy Court","U.S. Bankruptcy Courts",40
"Tennessee Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Texas Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Texas Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Texas Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Texas Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Utah Bankruptcy Court","U.S. Bankruptcy Courts",40
"Vermont Bankruptcy Court","U.S. Bankruptcy Courts",40
"Virginia Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Virginia Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Washington Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Washington Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"West Virginia Northern Bankruptcy Court","U.S. Bankruptcy Courts",40
"West Virginia Southern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Wisconsin Eastern Bankruptcy Court","U.S. Bankruptcy Courts",40
"Wisconsin Western Bankruptcy Court","U.S. Bankruptcy Courts",40
"Wyoming Bankruptcy Court","U.S. Bankruptcy Courts",40
"Alabama Middle Probation Office","U.S. Probation and Pretrial Services",50
"Alabama Northern Probation Office","U.S. Probation and Pretrial Services",50
"Alabama Southern Probation Office","U.S. Probation and Pretrial Services",50
"Alaska Probation Office","U.S. Probation and Pretrial Services",50
"Arizona Pretrial Services","U.S. Probation and Pretrial Services",50
"Arizona Probation Office","U.S. Probation and Pretrial Services",50
"Arkansas Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Arkansas Western Probation Office","U.S. Probation and Pretrial Services",50
"California Central Probation Office","U.S. Probation and Pretrial Services",50
"California Eastern Pretrial Services","U.S. Probation and Pretrial Services",50
"California Eastern Probation Office","U.S. Probation and Pretrial Services",50
"California Northern Pretrial Services","U.S. Probation and Pretrial Services",50
"California Northern Probation Office","U.S. Probation and Pretrial Services",50
"California Southern Pretrial Services","U.S. Probation and Pretrial Services",50
"California Southern Probation Office","U.S. Probation and Pretrial Services",50
"Colorado Probation Office","U.S. Probation and Pretrial Services",50
"Connecticut Probation Office","U.S. Probation and Pretrial Services",50
"Delaware Probation Office","U.S. Probation and Pretrial Services",50
"District of Columbia Probation Office","U.S. Probation and Pretrial Services",50
"Florida Middle Pretrial Services","U.S. Probation and Pretrial Services",50
"Florida Middle Probation Office","U.S. Probation and Pretrial Services",50
"Florida Northern Probation Office","U.S. Probation and Pretrial Services",50
"Florida Southern Probation Office","U.S. Probation and Pretrial Services",50
"Georgia Middle Probation Office","U.S. Probation and Pretrial Services",50
"Georgia Northern Probation Office","U.S. Probation and Pretrial Services",50
"Georgia Southern Probation Office","U.S. Probation and Pretrial Services",50
"Guam Probation Office","U.S. Probation and Pretrial Services",50
"Hawaii Probation Office","U.S. Probation and Pretrial Services",50
"Idaho Probation Office","U.S. Probation and Pretrial Services",50
"Illinois Central Probation Office","U.S. Probation and Pretrial Services",50
"Illinois Northern Pretrial Services","U.S. Probation and Pretrial Services",50
"Illinois Northern Probation Office","U.S. Probation and Pretrial Services",50
"Illinois Southern Probation Office","U.S. Probation and Pretrial Services",50
"Indiana Northern Probation Office","U.S. Probation and Pretrial Services",50
"Indiana Southern Probation Office","U.S. Probation and Pretrial Services",50
"Iowa Northern Probation Office","U.S. Probation and Pretrial Services",50
"Iowa Southern Probation Office","U.S. Probation and Pretrial Services",50
"Kansas Probation Office","U.S. Probation and Pretrial Services",50
"Kentucky Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Kentucky Western Probation Office","U.S. Probation and Pretrial Services",50
"Louisiana Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Louisiana Middle Probation Office","U.S. Probation and Pretrial Services",50
"Louisiana Western Probation Office","U.S. Probation and Pretrial Services",50
"Maine Probation Office","U.S. Probation and Pretrial Services",50
"Maryland Probation Office","U.S. Probation and Pretrial Services",50
"Massachusetts Probation Office","U.S. Probation and Pretrial Services",50
"Michigan Eastern Pretrial Services","U.S. Probation and Pretrial Services",50
"Michigan Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Michigan Western Probation Office","U.S. Probation and Pretrial Services",50
"Minnesota Probation Office","U.S. Probation and Pretrial Services",50
"Mississippi Northern Probation Office","U.S. Probation and Pretrial Services",50
"Mississippi Southern Probation Office","U.S. Probation and Pretrial Services",50
"Missouri Eastern Pretrial Services","U.S. Probation and Pretrial Services",50
"Missouri Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Missouri Western Probation Office","U.S. Probation and Pretrial Services",50
"Montana Probation Office","U.S. Probation and Pretrial Services",50
"Nebraska Probation Office","U.S. Probation and Pretrial Services",50
"Nevada Pretrial Services","U.S. Probation and Pretrial Services",50
"Nevada Probation Office","U.S. Probation and Pretrial Services",50
"New Hampshire Probation Office","U.S. Probation and Pretrial Services",50
"New Jersey Pretrial Services","U.S. Probation and Pretrial Services",50
"New Jersey Probation Office","U.S. Probation and Pretrial Services",50
"New Mexico Probation Office","U.S. Probation and Pretrial Services",50
"New York Eastern Pretrial Services","U.S. Probation and Pretrial Services",50
"New York Eastern Probation Office","U.S. Probation and Pretrial Services",50
"New York Northern Probation Office","U.S. Probation and Pretrial Services",50
"New York Southern Pretrial Services","U.S. Probation and Pretrial Services",50
"New York Southern Probation Office","U.S. Probation and Pretrial Services",50
"New York Western Probation Office","U.S. Probation and Pretrial Services",50
"North Carolina Eastern Probation Office","U.S. Probation and Pretrial Services",50
"North Carolina Middle Probation Office","U.S. Probation and Pretrial Services",50
"North Carolina Western Probation Office","U.S. Probation and Pretrial Services",50
"North Dakota Probation Office","U.S. Probation and Pretrial Services",50
"Ohio Northern Probation Office","U.S. Probation and Pretrial Services",50
"Ohio Southern Pretrial Services","U.S. Probation and Pretrial Services",50
"Ohio Southern Probation Office","U.S. Probation and Pretrial Services",50
"Oklahoma Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Oklahoma Northern Probation Office","U.S. Probation and Pretrial Services",50
"Oklahoma Western  Probation Office","U.S. Probation and Pretrial Services",50
"Oregon Pretrial Services","U.S. Probation and Pretrial Services",50
"Oregon Probation Office","U.S. Probation and Pretrial Services",50
"Pennsylvania Eastern Pretrial Services","U.S. Probation and Pretrial Services",50
"Pennsylvania Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Pennsylvania Middle Probation Office","U.S. Probation and Pretrial Services",50
"Pennsylvania Western Probation Office","U.S. Probation and Pretrial Services",50
"Puerto Rico Probation Office","U.S. Probation and Pretrial Services",50
"Rhode Island Probation Office","U.S. Probation and Pretrial Services",50
"South Carolina Probation Office","U.S. Probation and Pretrial Services",50
"South Dakota Probation Office","U.S. Probation and Pretrial Services",50
"Tennessee Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Tennessee Middle Probation Office","U.S. Probation and Pretrial Services",50
"Tennessee Western Probation Office","U.S. Probation and Pretrial Services",50
"Texas Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Texas Northern Probation Office","U.S. Probation and Pretrial Services",50
"Texas Southern Probation Office","U.S. Probation and Pretrial Services",50
"Texas Western Pretrial Services","U.S. Probation and Pretrial Services",50
"Texas Western Probation Office","U.S. Probation and Pretrial Services",50
"Utah Probation Office","U.S. Probation and Pretrial Services",50
"Vermont Probation Office","U.S. Probation and Pretrial Services",50
"Virgin Islands Probation Office","U.S. Probation and Pretrial Services",50
"Virginia Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Virginia Western Probation Office","U.S. Probation and Pretrial Services",50
"Washington Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Washington Western Probation Office","U.S. Probation and Pretrial Services",50
"West Virginia Northern Probation Office","U.S. Probation and Pretrial Services",50
"West Virginia Southern Probation Office","U.S. Probation and Pretrial Services",50
"Wisconsin Eastern Probation Office","U.S. Probation and Pretrial Services",50
"Wisconsin Western Probation Office","U.S. Probation and Pretrial Services",50
"Wyoming Probation Office","U.S. Probation and Pretrial Services",50
"Alabama Middle Federal Defender Program, Inc.","Federal Defender Organizations",60
"Alabama Northern Federal Public Defender","Federal Defender Organizations",60
"Alaska Federal Public Defender","Federal Defender Organizations",60
"Arizona Federal Public Defender","Federal Defender Organizations",60
"Arkansas Eastern Federal Public Defender","Federal Defender Organizations",60
"Arkansas Western Federal Public Defender","Federal Defender Organizations",60
"California Central Federal Public Defender","Federal Defender Organizations",60
"California Eastern Federal Public Defender","Federal Defender Organizations",60
"California Northern Federal Public Defender","Federal Defender Organizations",60
"Colorado Federal Public Defender","Federal Defender Organizations",60
"Community Defender for the Eastern District of Pennsylvania","Federal Defender Organizations",60
"Connecticut Federal Public Defender","Federal Defender Organizations",60
"Delaware Federal Public Defender","Federal Defender Organizations",60
"District of Columbia Federal Public Defender","Federal Defender Organizations",60
"Federal Community Defenders, Inc.","Federal Defender Organizations",60
"Federal Defender Services of Eastern Tennessee, Inc.","Federal Defender Organizations",60
"Federal Defender Services of Idaho, Inc.","Federal Defender Organizations",60
"Federal Defender Services of Wisconsin, Inc.","Federal Defender Organizations",60
"Federal Defenders of Eastern Washington","Federal Defender Organizations",60
"Federal Defenders of Montana","Federal Defender Organizations",60
